region_code,region_name,year,population
14,Córdoba,2018,785240.0
15,"Coruña, A",2018,1119351.0
16,Cuenca,2018,197222.0
17,Girona,2018,761947.0
18,Granada,2018,912075.0
19,Guadalajara,2018,254308.0
20,Gipuzkoa,2018,720592.0
21,Huelva,2018,519932.0
22,Huesca,2018,219345.0
23,Jaén,2018,638099.0
24,León,2018,463746.0
25,Lleida,2018,432866.0
26,"Rioja, La",2018,315675.0
27,Lugo,2018,331327.0
28,Madrid,2018,6578079.0
29,Málaga,2018,1641121.0
30,Murcia,2018,1478509.0
31,Navarra,2018,647554.0
32,Ourense,2018,309293.0
33,Asturias,2018,1028244.0
34,Palencia,2018,162035.0
35,"Palmas, Las",2018,1109175.0
36,Pontevedra,2018,941772.0
37,Salamanca,2018,331473.0
38,Santa Cruz de Tenerife,2018,1018510.0
39,Cantabria,2018,580229.0
40,Segovia,2018,153342.0
41,Sevilla,2018,1939887.0
42,Soria,2018,88600.0
43,Tarragona,2018,795902.0
44,Teruel,2018,134572.0
45,Toledo,2018,687391.0
46,Valencia/València,2018,2547986.0
47,Valladolid,2018,519851.0
48,Bizkaia,2018,1149628.0
49,Zamora,2018,174549.0
50,Zaragoza,2018,954811.0
51,Ceuta,2018,85144.0
52,Melilla,2018,86384.0
01,Araba/Álava,2017,326574.0
02,Albacete,2017,390032.0
03,Alicante/Alacant,2017,1825332.0
04,Almería,2017,706672.0
05,Ávila,2017,160700.0
06,Badajoz,2017,679884.0
07,"Balears, Illes",2017,1115999.0
08,Barcelona,2017,5576037.0
09,Burgos,2017,358171.0
10,Cáceres,2017,400036.0
11,Cádiz,2017,1239435.0
12,Castellón/Castelló,2017,575470.0
13,Ciudad Real,2017,502578.0
14,Córdoba,2017,788219.0
15,"Coruña, A",2017,1120294.0
16,Cuenca,2017,198718.0
17,Girona,2017,755716.0
18,Granada,2017,912938.0
19,Guadalajara,2017,253310.0
20,Gipuzkoa,2017,719282.0
21,Huelva,2017,518930.0
22,Huesca,2017,219702.0
23,Jaén,2017,643484.0
24,León,2017,468316.0
25,Lleida,2017,432384.0
26,"Rioja, La",2017,315381.0
27,Lugo,2017,333634.0
28,Madrid,2017,6507184.0
29,Málaga,2017,1630615.0
30,Murcia,2017,1470273.0
31,Navarra,2017,643234.0
32,Ourense,2017,311680.0
33,Asturias,2017,1034960.0
