PROV_CODE,PROV_NAME,date,mean,min,max,stdDev
25776,Almería,2018-01,1.6204042411834376,0.25,147.6175079345703,6.687151860640906
25777,Cádiz,2018-01,2.760483572819832,0.2874999940395355,225.72499084472656,12.058753149851649
25778,Córdoba,2018-01,1.146194265509373,0.2325000017881393,151.73500061035156,5.359669189737394
25779,Granada,2018-01,1.2412073422443377,0.1500000059604644,118.6125030517578,4.920982161193428
25780,Huelva,2018-01,1.141758288188372,0.2425000071525573,183.07249450683597,5.893869785217892
25781,Jaén,2018-01,1.0680280805888722,0.2425000071525573,124.59500122070312,4.147771500370455
25782,Málaga,2018-01,3.2519163186220066,0.2874999940395355,183.04249572753903,11.861830311500512
25783,Sevilla,2018-01,2.234673506543416,0.2549999952316284,135.114990234375,8.693229413251494
25784,Huesca,2018-01,0.7108334913353993,0.2349999994039535,195.94749450683597,3.133365489650416
25785,Teruel,2018-01,0.6095635513405439,0.2349999994039535,121.06999969482422,2.0149642107737606
25786,Zaragoza,2018-01,1.3331417840283784,0.2450000047683715,185.0574951171875,6.404904070905355
25789,Las Palmas,2018-01,3.214213003398206,0.1949999928474426,104.04000091552734,8.089752331713944
25790,Santa Cruz de Tenerife,2018-01,2.6669660788124534,-0.0575000010430812,96.22750091552734,6.928609142406908
25791,Cantabria,2018-01,1.6865849742454175,0.2824999988079071,96.85749816894533,4.338930196183844
25801,Albacete,2018-01,0.6954870023280497,0.2450000047683715,107.79499816894533,2.5565786893737847
25802,Ciudad Real,2018-01,0.8067644474018326,0.2199999988079071,287.2675170898437,4.250307230186137
25803,Cuenca,2018-01,0.6376206148952949,0.2450000047683715,94.30999755859376,2.0748478363881544
25804,Guadalajara,2018-01,0.7660532825878531,0.1850000023841858,70.90750122070312,2.566139185681886
25805,Toledo,2018-01,1.2078709155200416,0.2325000017881393,94.8550033569336,3.5787841926637927
25792,Ávila,2018-01,0.7522110426264519,0.2750000059604645,51.095001220703125,1.8843030364952635
25793,Burgos,2018-01,0.7762287732471184,0.2274999916553497,98.19249725341795,2.704940907107296
25794,León,2018-01,0.9420958639387012,0.2574999928474426,92.18499755859376,2.9569163236471394
25795,Palencia,2018-01,0.6895400368689022,0.2475000023841858,62.93499755859375,2.0677497820289275
25796,Salamanca,2018-01,0.7277132225363898,0.207500010728836,100.87750244140624,2.950492351820183
25797,Segovia,2018-01,0.9775456962931524,0.262499988079071,99.96749877929688,2.8729992647747937
25798,Soria,2018-01,0.7845002311186601,0.2224999964237213,1463.387451171875,13.20845864103805
25799,Valladolid,2018-01,1.3514771402630483,0.2874999940395355,88.84500122070312,4.805556865855212
