Codigo,Nombre,Consumo eléctrico,Total
04006,Albox,Viviendas con consumo mayor de 10.000 kwh,101
04011,Alhama de Almería,Viviendas totales,2336
04011,Alhama de Almería,Viviendas vacías,488
04011,Alhama de Almería,Mediana consumo anual,2322
04011,Alhama de Almería,Viviendas con bajo consumo,83
04011,Alhama de Almería,Viviendas de uso esporádico,251
04011,Alhama de Almería,Viviendas de uso esporádico (entre 251 y 500 kwh),125
04011,Alhama de Almería,Viviendas de uso esporádico (entre 501 y 750 kwh),126
04011,Alhama de Almería,Viviendas con consumo entre 751 y 1.000 kwh,112
04011,Alhama de Almería,Viviendas con consumo entre 1.001 y 2.000 kwh,389
04011,Alhama de Almería,Viviendas con consumo entre 2.001 y 3.000 kwh,393
04011,Alhama de Almería,Viviendas con consumo entre 3.001 y 4.000 kwh,278
04011,Alhama de Almería,Viviendas con consumo entre 4.001 y 5.000 kwh,161
04011,Alhama de Almería,Viviendas con consumo entre 5.001 y 6.000 kwh,80
04011,Alhama de Almería,Viviendas con consumo entre 6.001 y 7.000 kwh,48
04011,Alhama de Almería,Viviendas con consumo entre 7.001 y 8.000 kwh,20
04011,Alhama de Almería,Viviendas con consumo entre 8.001 y 9.000 kwh,12
04011,Alhama de Almería,Viviendas con consumo entre 9.001 y 10.000 kwh,5
04011,Alhama de Almería,Viviendas con consumo mayor de 10.000 kwh,16
04013,Almería,Viviendas totales,100957
04013,Almería,Viviendas vacías,9965
04013,Almería,Mediana consumo anual,2490
04013,Almería,Viviendas con bajo consumo,2516
04013,Almería,Viviendas de uso esporádico,7963
04013,Almería,Viviendas de uso esporádico (entre 251 y 500 kwh),3858
04013,Almería,Viviendas de uso esporádico (entre 501 y 750 kwh),4105
04013,Almería,Viviendas con consumo entre 751 y 1.000 kwh,4446
04013,Almería,Viviendas con consumo entre 1.001 y 2.000 kwh,21160
04013,Almería,Viviendas con consumo entre 2.001 y 3.000 kwh,20902
04013,Almería,Viviendas con consumo entre 3.001 y 4.000 kwh,15415
04013,Almería,Viviendas con consumo entre 4.001 y 5.000 kwh,8777
04013,Almería,Viviendas con consumo entre 5.001 y 6.000 kwh,4610
04013,Almería,Viviendas con consumo entre 6.001 y 7.000 kwh,2228
04013,Almería,Viviendas con consumo entre 7.001 y 8.000 kwh,1093
04013,Almería,Viviendas con consumo entre 8.001 y 9.000 kwh,592
04013,Almería,Viviendas con consumo entre 9.001 y 10.000 kwh,362
04013,Almería,Viviendas con consumo mayor de 10.000 kwh,928
04016,Antas,Viviendas totales,1958
04016,Antas,Viviendas vacías,276
04016,Antas,Mediana consumo anual,2542
04016,Antas,Viviendas con bajo consumo,68
04016,Antas,Viviendas de uso esporádico,201
04016,Antas,Viviendas de uso esporádico (entre 251 y 500 kwh),101
04016,Antas,Viviendas de uso esporádico (entre 501 y 750 kwh),100
04016,Antas,Viviendas con consumo entre 751 y 1.000 kwh,96
04016,Antas,Viviendas con consumo entre 1.001 y 2.000 kwh,339
04016,Antas,Viviendas con consumo entre 2.001 y 3.000 kwh,296
04016,Antas,Viviendas con consumo entre 3.001 y 4.000 kwh,237
04016,Antas,Viviendas con consumo entre 4.001 y 5.000 kwh,166
04016,Antas,Viviendas con consumo entre 5.001 y 6.000 kwh,107
04016,Antas,Viviendas con consumo entre 6.001 y 7.000 kwh,63
04016,Antas,Viviendas con consumo entre 7.001 y 8.000 kwh,26
04016,Antas,Viviendas con consumo entre 8.001 y 9.000 kwh,24
04016,Antas,Viviendas con consumo entre 9.001 y 10.000 kwh,18
04016,Antas,Viviendas con consumo mayor de 10.000 kwh,41
04017,Arboleas,Viviendas totales,2775
04017,Arboleas,Viviendas vacías,645
04017,Arboleas,Mediana consumo anual,3033
04017,Arboleas,Viviendas con bajo consumo,53
04017,Arboleas,Viviendas de uso esporádico,160
04017,Arboleas,Viviendas de uso esporádico (entre 251 y 500 kwh),89
04017,Arboleas,Viviendas de uso esporádico (entre 501 y 750 kwh),71
04017,Arboleas,Viviendas con consumo entre 751 y 1.000 kwh,89
04017,Arboleas,Viviendas con consumo entre 1.001 y 2.000 kwh,377
04017,Arboleas,Viviendas con consumo entre 2.001 y 3.000 kwh,396
04017,Arboleas,Viviendas con consumo entre 3.001 y 4.000 kwh,395
04017,Arboleas,Viviendas con consumo entre 4.001 y 5.000 kwh,261
04017,Arboleas,Viviendas con consumo entre 5.001 y 6.000 kwh,179
04017,Arboleas,Viviendas con consumo entre 6.001 y 7.000 kwh,79
04017,Arboleas,Viviendas con consumo entre 7.001 y 8.000 kwh,53
04017,Arboleas,Viviendas con consumo entre 8.001 y 9.000 kwh,32
04017,Arboleas,Viviendas con consumo entre 9.001 y 10.000 kwh,18
04017,Arboleas,Viviendas con consumo mayor de 10.000 kwh,38
04024,Benahadux,Viviendas totales,2125
04024,Benahadux,Viviendas vacías,229
04024,Benahadux,Mediana consumo anual,2953
04024,Benahadux,Viviendas con bajo consumo,38
04024,Benahadux,Viviendas de uso esporádico,133
04024,Benahadux,Viviendas de uso esporádico (entre 251 y 500 kwh),60
04024,Benahadux,Viviendas de uso esporádico (entre 501 y 750 kwh),73
04024,Benahadux,Viviendas con consumo entre 751 y 1.000 kwh,91
04024,Benahadux,Viviendas con consumo entre 1.001 y 2.000 kwh,328
04024,Benahadux,Viviendas con consumo entre 2.001 y 3.000 kwh,392
04024,Benahadux,Viviendas con consumo entre 3.001 y 4.000 kwh,366
04024,Benahadux,Viviendas con consumo entre 4.001 y 5.000 kwh,267
04024,Benahadux,Viviendas con consumo entre 5.001 y 6.000 kwh,130
04024,Benahadux,Viviendas con consumo entre 6.001 y 7.000 kwh,70
04024,Benahadux,Viviendas con consumo entre 7.001 y 8.000 kwh,34
04024,Benahadux,Viviendas con consumo entre 8.001 y 9.000 kwh,17
04024,Benahadux,Viviendas con consumo entre 9.001 y 10.000 kwh,7
04024,Benahadux,Viviendas con consumo mayor de 10.000 kwh,23
04029,Berja,Viviendas totales,6748
04029,Berja,Viviendas vacías,747
04029,Berja,Mediana consumo anual,2421
04029,Berja,Viviendas con bajo consumo,204
04029,Berja,Viviendas de uso esporádico,675
04029,Berja,Viviendas de uso esporádico (entre 251 y 500 kwh),324
04029,Berja,Viviendas de uso esporádico (entre 501 y 750 kwh),351
04029,Berja,Viviendas con consumo entre 751 y 1.000 kwh,334
04029,Berja,Viviendas con consumo entre 1.001 y 2.000 kwh,1333
04029,Berja,Viviendas con consumo entre 2.001 y 3.000 kwh,1233
04029,Berja,Viviendas con consumo entre 3.001 y 4.000 kwh,841
04029,Berja,Viviendas con consumo entre 4.001 y 5.000 kwh,604
04029,Berja,Viviendas con consumo entre 5.001 y 6.000 kwh,334
04029,Berja,Viviendas con consumo entre 6.001 y 7.000 kwh,171
04029,Berja,Viviendas con consumo entre 7.001 y 8.000 kwh,75
04029,Berja,Viviendas con consumo entre 8.001 y 9.000 kwh,56
04029,Berja,Viviendas con consumo entre 9.001 y 10.000 kwh,37
04029,Berja,Viviendas con consumo mayor de 10.000 kwh,104
04030,Canjáyar,Viviendas totales,1124
04030,Canjáyar,Viviendas vacías,418
04030,Canjáyar,Mediana consumo anual,1743
04030,Canjáyar,Viviendas con bajo consumo,64
04030,Canjáyar,Viviendas de uso esporádico,116
04030,Canjáyar,Viviendas de uso esporádico (entre 251 y 500 kwh),60
04030,Canjáyar,Viviendas de uso esporádico (entre 501 y 750 kwh),56
04030,Canjáyar,Viviendas con consumo entre 751 y 1.000 kwh,62
04030,Canjáyar,Viviendas con consumo entre 1.001 y 2.000 kwh,184
04030,Canjáyar,Viviendas con consumo entre 2.001 y 3.000 kwh,130
04030,Canjáyar,Viviendas con consumo entre 3.001 y 4.000 kwh,65
04030,Canjáyar,Viviendas con consumo entre 4.001 y 5.000 kwh,35
04030,Canjáyar,Viviendas con consumo entre 5.001 y 6.000 kwh,19
04030,Canjáyar,Viviendas con consumo entre 6.001 y 7.000 kwh,11
04030,Canjáyar,Viviendas con consumo entre 7.001 y 8.000 kwh,5
04030,Canjáyar,Viviendas con consumo entre 8.001 y 9.000 kwh,8
04030,Canjáyar,Viviendas con consumo entre 9.001 y 10.000 kwh,0
04030,Canjáyar,Viviendas con consumo mayor de 10.000 kwh,7
04031,Cantoria,Viviendas totales,2499
04031,Cantoria,Viviendas vacías,806
04031,Cantoria,Mediana consumo anual,2306
04031,Cantoria,Viviendas con bajo consumo,102
04031,Cantoria,Viviendas de uso esporádico,232
04031,Cantoria,Viviendas de uso esporádico (entre 251 y 500 kwh),113
04031,Cantoria,Viviendas de uso esporádico (entre 501 y 750 kwh),119
04031,Cantoria,Viviendas con consumo entre 751 y 1.000 kwh,92
04031,Cantoria,Viviendas con consumo entre 1.001 y 2.000 kwh,356
04031,Cantoria,Viviendas con consumo entre 2.001 y 3.000 kwh,380
04031,Cantoria,Viviendas con consumo entre 3.001 y 4.000 kwh,222
04031,Cantoria,Viviendas con consumo entre 4.001 y 5.000 kwh,140
04031,Cantoria,Viviendas con consumo entre 5.001 y 6.000 kwh,81
04031,Cantoria,Viviendas con consumo entre 6.001 y 7.000 kwh,34
04031,Cantoria,Viviendas con consumo entre 7.001 y 8.000 kwh,21
04031,Cantoria,Viviendas con consumo entre 8.001 y 9.000 kwh,8
04031,Cantoria,Viviendas con consumo entre 9.001 y 10.000 kwh,6
04031,Cantoria,Viviendas con consumo mayor de 10.000 kwh,19
04032,Carboneras,Viviendas totales,6292
04032,Carboneras,Viviendas vacías,982
04032,Carboneras,Mediana consumo anual,1815
04032,Carboneras,Viviendas con bajo consumo,404
04032,Carboneras,Viviendas de uso esporádico,1021
04032,Carboneras,Viviendas de uso esporádico (entre 251 y 500 kwh),512
04032,Carboneras,Viviendas de uso esporádico (entre 501 y 750 kwh),509
04032,Carboneras,Viviendas con consumo entre 751 y 1.000 kwh,433
04032,Carboneras,Viviendas con consumo entre 1.001 y 2.000 kwh,1189
04032,Carboneras,Viviendas con consumo entre 2.001 y 3.000 kwh,856
04032,Carboneras,Viviendas con consumo entre 3.001 y 4.000 kwh,593
04032,Carboneras,Viviendas con consumo entre 4.001 y 5.000 kwh,340
04032,Carboneras,Viviendas con consumo entre 5.001 y 6.000 kwh,218
04032,Carboneras,Viviendas con consumo entre 6.001 y 7.000 kwh,100
04032,Carboneras,Viviendas con consumo entre 7.001 y 8.000 kwh,56
04032,Carboneras,Viviendas con consumo entre 8.001 y 9.000 kwh,27
04032,Carboneras,Viviendas con consumo entre 9.001 y 10.000 kwh,26
04032,Carboneras,Viviendas con consumo mayor de 10.000 kwh,47
04035,Cuevas del Almanzora,Viviendas totales,10472
04035,Cuevas del Almanzora,Viviendas vacías,2710
04035,Cuevas del Almanzora,Mediana consumo anual,2129
04035,Cuevas del Almanzora,Viviendas con bajo consumo,452
04035,Cuevas del Almanzora,Viviendas de uso esporádico,1207
04035,Cuevas del Almanzora,Viviendas de uso esporádico (entre 251 y 500 kwh),620
04035,Cuevas del Almanzora,Viviendas de uso esporádico (entre 501 y 750 kwh),587
04035,Cuevas del Almanzora,Viviendas con consumo entre 751 y 1.000 kwh,500
04035,Cuevas del Almanzora,Viviendas con consumo entre 1.001 y 2.000 kwh,1730
04035,Cuevas del Almanzora,Viviendas con consumo entre 2.001 y 3.000 kwh,1439
04035,Cuevas del Almanzora,Viviendas con consumo entre 3.001 y 4.000 kwh,1014
04035,Cuevas del Almanzora,Viviendas con consumo entre 4.001 y 5.000 kwh,657
04035,Cuevas del Almanzora,Viviendas con consumo entre 5.001 y 6.000 kwh,271
04035,Cuevas del Almanzora,Viviendas con consumo entre 6.001 y 7.000 kwh,192
04035,Cuevas del Almanzora,Viviendas con consumo entre 7.001 y 8.000 kwh,97
04035,Cuevas del Almanzora,Viviendas con consumo entre 8.001 y 9.000 kwh,51
04035,Cuevas del Almanzora,Viviendas con consumo entre 9.001 y 10.000 kwh,42
04035,Cuevas del Almanzora,Viviendas con consumo mayor de 10.000 kwh,110
04037,Chirivel,Viviendas totales,1477
04037,Chirivel,Viviendas vacías,582
04037,Chirivel,Mediana consumo anual,2142
04037,Chirivel,Viviendas con bajo consumo,85
04037,Chirivel,Viviendas de uso esporádico,148
04037,Chirivel,Viviendas de uso esporádico (entre 251 y 500 kwh),89
04037,Chirivel,Viviendas de uso esporádico (entre 501 y 750 kwh),59
04037,Chirivel,Viviendas con consumo entre 751 y 1.000 kwh,55
04037,Chirivel,Viviendas con consumo entre 1.001 y 2.000 kwh,170
04037,Chirivel,Viviendas con consumo entre 2.001 y 3.000 kwh,146
04037,Chirivel,Viviendas con consumo entre 3.001 y 4.000 kwh,107
04037,Chirivel,Viviendas con consumo entre 4.001 y 5.000 kwh,76
04037,Chirivel,Viviendas con consumo entre 5.001 y 6.000 kwh,33
04037,Chirivel,Viviendas con consumo entre 6.001 y 7.000 kwh,19
04037,Chirivel,Viviendas con consumo entre 7.001 y 8.000 kwh,13
04037,Chirivel,Viviendas con consumo entre 8.001 y 9.000 kwh,9
04037,Chirivel,Viviendas con consumo entre 9.001 y 10.000 kwh,8
04037,Chirivel,Viviendas con consumo mayor de 10.000 kwh,26
04038,Dalías,Viviendas totales,2190
04038,Dalías,Viviendas vacías,262
04038,Dalías,Mediana consumo anual,2284
04038,Dalías,Viviendas con bajo consumo,70
04038,Dalías,Viviendas de uso esporádico,257
04038,Dalías,Viviendas de uso esporádico (entre 251 y 500 kwh),131
04038,Dalías,Viviendas de uso esporádico (entre 501 y 750 kwh),126
04038,Dalías,Viviendas con consumo entre 751 y 1.000 kwh,112
04038,Dalías,Viviendas con consumo entre 1.001 y 2.000 kwh,446
04038,Dalías,Viviendas con consumo entre 2.001 y 3.000 kwh,417
04038,Dalías,Viviendas con consumo entre 3.001 y 4.000 kwh,282
04038,Dalías,Viviendas con consumo entre 4.001 y 5.000 kwh,158
04038,Dalías,Viviendas con consumo entre 5.001 y 6.000 kwh,88
04038,Dalías,Viviendas con consumo entre 6.001 y 7.000 kwh,43
04038,Dalías,Viviendas con consumo entre 7.001 y 8.000 kwh,17
04038,Dalías,Viviendas con consumo entre 8.001 y 9.000 kwh,12
04038,Dalías,Viviendas con consumo entre 9.001 y 10.000 kwh,5
04038,Dalías,Viviendas con consumo mayor de 10.000 kwh,21
04044,Fines,Viviendas totales,1217
04044,Fines,Viviendas vacías,208
04044,Fines,Mediana consumo anual,2454
