osm_id,source_type,name,lat,lon,tags
node/9160507385,node,Cementerio S. Fernando,37.7733031,-3.7689758,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Cementerio S. Fernando', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34272'}"
node/9160507386,node,Cerro Molina (Final),37.7944192,-3.7299466,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Cerro Molina (Final)', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34394'}"
node/9160507387,node,Urbanización Cerro Molina,37.7887898,-3.7271196,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Urbanización Cerro Molina', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34262'}"
node/9160507388,node,Carretera Granada - Los Llanos,37.7776158,-3.7575603,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Carretera Granada - Los Llanos', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34275'}"
node/9162278084,node,,37.774892,-3.803601,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9162278085,node,,37.7741629,-3.7836294,"{'bench': 'no', 'bin': 'no', 'bus': 'yes', 'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'no', 'tactile_paving': 'no'}"
node/9162278086,node,,37.7691223,-3.7928707,"{'bench': 'yes', 'bin': 'no', 'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'yes'}"
node/9162278087,node,,37.7739478,-3.8018695,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9162278088,node,Calle Ramón y Cajal,37.7655994,-3.7892727,"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Calle Ramón y Cajal', 'network': 'Transporte Urbano de Jaén', 'public_transport': 'platform', 'ref': '34476'}"
node/9162278089,node,,37.7748413,-3.803668,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9162278090,node,,37.7732413,-3.7997691,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9178384508,node,,37.7609111,-3.7950762,"{'highway': 'bus_stop', 'public_transport': 'platform'}"
node/9178384509,node,,37.7619238,-3.7956161,"{'highway': 'bus_stop', 'public_transport': 'platform', 'shelter': 'no'}"
