ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,date,max,mean,min,stdDev
229,Spain,2716,Andalucía,25776,Almería,NO,3000,Member State,1000,0.886192499648,5.75745860612,2018-01,154.99000549316406,1.5545194360334151,0.2199999988079071,6.569359056325497
229,Spain,2716,Andalucía,25777,Cádiz,NO,3000,Member State,1000,0.740346143201,6.35367203927,2018-01,249.00999450683594,2.8835946325942308,0.23999999463558197,12.966311464716073
229,Spain,2716,Andalucía,25778,Córdoba,NO,3000,Member State,1000,1.41244419758,8.3165282639,2018-01,174.6699981689453,1.1416187883682716,0.1599999964237213,5.432695906772248
229,Spain,2716,Andalucía,25779,Granada,NO,3000,Member State,1000,1.28192739049,7.14942487937,2018-01,140.39999389648438,1.2419854753283217,0.0,5.111145694502861
229,Spain,2716,Andalucía,25780,Huelva,NO,3000,Member State,1000,1.01915750439,7.58235097298,2018-01,222.6199951171875,1.1691379311420875,0.1899999976158142,6.250215600272301
229,Spain,2716,Andalucía,25781,Jaén,NO,3000,Member State,1000,1.38465996173,6.88543572279,2018-01,133.6199951171875,1.0247227231082012,0.1899999976158142,4.217966781009218
229,Spain,2716,Andalucía,25782,Málaga,NO,3000,Member State,1000,0.734724021361,5.88826616484,2018-01,207.47000122070312,3.279556261761733,0.25,12.328261262881956
229,Spain,2716,Andalucía,25783,Sevilla,NO,3000,Member State,1000,1.42654426288,9.88198181095,2018-01,150.42999267578125,2.271695366558731,0.2199999988079071,9.20782373813843
229,Spain,2717,Aragón,25784,Huesca,NO,3000,Member State,1000,1.71150396052,8.19391024214,2018-01,205.5399932861328,0.6941765505839748,0.20999999344348907,2.958631479817885
229,Spain,2717,Aragón,25785,Teruel,NO,3000,Member State,1000,1.57707344393,9.23671256637,2018-01,126.1500015258789,0.603194247022367,0.1899999976158142,2.1611232149774353
229,Spain,2717,Aragón,25786,Zaragoza,NO,3000,Member State,1000,1.86627538573,12.3340747389,2018-01,179.5500030517578,1.3760516560451048,0.18000000715255737,6.953395595542746
229,Spain,2720,Canarias,25789,Las Palmas,NO,3000,Member State,1000,0.373677589127,6.12477458292,2018-01,130.33999633789062,3.276355143886442,0.17000000178813934,8.534349517591702
229,Spain,2720,Canarias,25790,Santa Cruz de Tenerife,NO,3000,Member State,1000,0.313248301826,4.95817914947,2018-01,129.80999755859375,2.6264404283700244,-0.23000000417232513,7.3135430833537685
229,Spain,2721,Cantabria,25791,Cantabria,NO,3000,Member State,1000,0.589166695478,7.53040564702,2018-01,101.08000183105469,1.698751576672479,0.23999999463558197,4.451623717005928
229,Spain,2723,Castilla-La Mancha,25801,Albacete,NO,3000,Member State,1000,1.54830889239,7.87735619077,2018-01,135.6300048828125,0.700681249123062,0.20999999344348907,2.9778101820225436
229,Spain,2723,Castilla-La Mancha,25802,Ciudad Real,NO,3000,Member State,1000,2.05814212893,9.88637809959,2018-01,453.0899963378906,0.8132241372901694,0.12999999523162842,4.532003835256584
229,Spain,2723,Castilla-La Mancha,25803,Cuenca,NO,3000,Member State,1000,1.80502780543,7.96038743127,2018-01,119.94000244140625,0.6302751033658857,0.2199999988079071,2.147046091433252
229,Spain,2723,Castilla-La Mancha,25804,Guadalajara,NO,3000,Member State,1000,1.30336676502,8.53699480678,2018-01,96.16000366210938,0.7712666471826878,0.1599999964237213,2.782799000778284
229,Spain,2723,Castilla-La Mancha,25805,Toledo,NO,3000,Member State,1000,1.61599176992,9.86785726653,2018-01,105.83000183105469,1.215443691033037,0.1899999976158142,3.8995377218477167
229,Spain,2722,Castilla y León,25792,Ávila,NO,3000,Member State,1000,0.856068425356,6.58616264855,2018-01,56.060001373291016,0.7485797931917103,0.23000000417232513,2.052212760569018
229,Spain,2722,Castilla y León,25793,Burgos,NO,3000,Member State,1000,1.56195210704,12.0748173395,2018-01,105.5,0.8095281960735291,0.1899999976158142,3.168955269559575
229,Spain,2722,Castilla y León,25794,León,NO,3000,Member State,1000,1.70975816341,8.96863467206,2018-01,93.91999816894531,0.9323433528862444,0.20999999344348907,2.9271834022275343
229,Spain,2722,Castilla y León,25795,Palencia,NO,3000,Member State,1000,0.880156096345,7.64307333451,2018-01,90.83999633789062,0.6983252345706638,0.2199999988079071,2.3079159343010978
229,Spain,2722,Castilla y León,25796,Salamanca,NO,3000,Member State,1000,1.31270853102,7.30516258095,2018-01,112.80000305175781,0.7619474099960776,0.1899999976158142,3.3872725893770474
229,Spain,2722,Castilla y León,25797,Segovia,NO,3000,Member State,1000,0.742809844262,5.38665607841,2018-01,106.4000015258789,0.9721911662485367,0.20000000298023224,2.908004634925656
229,Spain,2722,Castilla y León,25798,Soria,NO,3000,Member State,1000,1.11353262282,6.95856266995,2018-01,2066.139892578125,0.7439076461817453,0.20000000298023224,11.608915142211515
229,Spain,2722,Castilla y León,25799,Valladolid,NO,3000,Member State,1000,0.876404339164,7.79725649387,2018-01,103.38999938964844,1.3760790626166812,0.23999999463558197,5.143767921855993
229,Spain,2722,Castilla y León,25800,Zamora,NO,3000,Member State,1000,1.14152695292,7.87214288017,2018-01,103.9800033569336,0.5888761946775107,0.20000000298023224,2.1787982216971677
229,Spain,2724,Cataluña/Catalunya,25806,Barcelona,NO,3000,Member State,1000,0.832713799105,8.05689188032,2018-01,257.8800048828125,7.43987875724463,0.20999999344348907,18.97324039334294
