cod_prov,cod_muni,municipio,year,population
,,Enériz/Eneritz. Mujeres. Total habitantes. Personas. ,2024,160.0
,,Enguera. Total. Total habitantes. Personas. ,2024,4769.0
,,Enguera. Hombres. Total habitantes. Personas. ,2024,2389.0
,,Enguera. Mujeres. Total habitantes. Personas. ,2024,2380.0
,,Enguídanos. Total. Total habitantes. Personas. ,2024,294.0
,,Enguídanos. Hombres. Total habitantes. Personas. ,2024,158.0
,,Enguídanos. Mujeres. Total habitantes. Personas. ,2024,136.0
,,Enix. Total. Total habitantes. Personas. ,2024,598.0
,,Enix. Hombres. Total habitantes. Personas. ,2024,325.0
,,Enix. Mujeres. Total habitantes. Personas. ,2024,273.0
,,"Énova, l'. Total. Total habitantes. Personas. ",2024,924.0
,,"Énova, l'. Hombres. Total habitantes. Personas. ",2024,477.0
,,"Énova, l'. Mujeres. Total habitantes. Personas. ",2024,447.0
,,Entrala. Total. Total habitantes. Personas. ,2024,127.0
,,Entrala. Hombres. Total habitantes. Personas. ,2024,72.0
,,Entrala. Mujeres. Total habitantes. Personas. ,2024,55.0
,,Entrambasaguas. Total. Total habitantes. Personas. ,2024,5646.0
,,Entrambasaguas. Hombres. Total habitantes. Personas. ,2024,2838.0
,,Entrambasaguas. Mujeres. Total habitantes. Personas. ,2024,2808.0
,,Entrena. Total. Total habitantes. Personas. ,2024,1635.0
,,Entrena. Hombres. Total habitantes. Personas. ,2024,856.0
,,Entrena. Mujeres. Total habitantes. Personas. ,2024,779.0
,,Entrimo. Total. Total habitantes. Personas. ,2024,1079.0
,,Entrimo. Hombres. Total habitantes. Personas. ,2024,516.0
,,Entrimo. Mujeres. Total habitantes. Personas. ,2024,563.0
,,Entrín Bajo. Total. Total habitantes. Personas. ,2024,540.0
,,Entrín Bajo. Hombres. Total habitantes. Personas. ,2024,277.0
,,Entrín Bajo. Mujeres. Total habitantes. Personas. ,2024,263.0
,,Épila. Total. Total habitantes. Personas. ,2024,4565.0
,,Épila. Hombres. Total habitantes. Personas. ,2024,2362.0
,,Épila. Mujeres. Total habitantes. Personas. ,2024,2203.0
,,Erandio. Total. Total habitantes. Personas. ,2024,24662.0
,,Erandio. Hombres. Total habitantes. Personas. ,2024,11913.0
,,Erandio. Mujeres. Total habitantes. Personas. ,2024,12749.0
,,Eratsun. Total. Total habitantes. Personas. ,2024,153.0
,,Eratsun. Hombres. Total habitantes. Personas. ,2024,90.0
,,Eratsun. Mujeres. Total habitantes. Personas. ,2024,63.0
,,"Ercina, La. Total. Total habitantes. Personas. ",2024,425.0
,,"Ercina, La. Hombres. Total habitantes. Personas. ",2024,228.0
,,"Ercina, La. Mujeres. Total habitantes. Personas. ",2024,197.0
,,Ereño. Total. Total habitantes. Personas. ,2024,272.0
,,Ereño. Hombres. Total habitantes. Personas. ,2024,150.0
,,Ereño. Mujeres. Total habitantes. Personas. ,2024,122.0
,,Ergoiena. Total. Total habitantes. Personas. ,2024,382.0
,,Ergoiena. Hombres. Total habitantes. Personas. ,2024,202.0
,,Ergoiena. Mujeres. Total habitantes. Personas. ,2024,180.0
,,Erla. Total. Total habitantes. Personas. ,2024,371.0
,,Erla. Hombres. Total habitantes. Personas. ,2024,191.0
,,Erla. Mujeres. Total habitantes. Personas. ,2024,180.0
,,Ermua. Total. Total habitantes. Personas. ,2024,15627.0
,,Ermua. Hombres. Total habitantes. Personas. ,2024,7736.0
,,Ermua. Mujeres. Total habitantes. Personas. ,2024,7891.0
,,Errenteria. Total. Total habitantes. Personas. ,2024,39352.0
,,Errenteria. Hombres. Total habitantes. Personas. ,2024,19005.0
,,Errenteria. Mujeres. Total habitantes. Personas. ,2024,20347.0
,,Errezil. Total. Total habitantes. Personas. ,2024,580.0
,,Errezil. Hombres. Total habitantes. Personas. ,2024,309.0
,,Errezil. Mujeres. Total habitantes. Personas. ,2024,271.0
,,Erriberabeitia. Total. Total habitantes. Personas. ,2024,1439.0
,,Erriberabeitia. Hombres. Total habitantes. Personas. ,2024,767.0
,,Erriberabeitia. Mujeres. Total habitantes. Personas. ,2024,672.0
,,Erriberagoitia/Ribera Alta. Total. Total habitantes. Personas. ,2024,845.0
,,Erriberagoitia/Ribera Alta. Hombres. Total habitantes. Personas. ,2024,504.0
,,Erriberagoitia/Ribera Alta. Mujeres. Total habitantes. Personas. ,2024,341.0
,,Errigoiti. Total. Total habitantes. Personas. ,2024,511.0
,,Errigoiti. Hombres. Total habitantes. Personas. ,2024,272.0
,,Errigoiti. Mujeres. Total habitantes. Personas. ,2024,239.0
,,Erro. Total. Total habitantes. Personas. ,2024,811.0
,,Erro. Hombres. Total habitantes. Personas. ,2024,447.0
,,Erro. Mujeres. Total habitantes. Personas. ,2024,364.0
,,Erustes. Total. Total habitantes. Personas. ,2024,226.0
,,Erustes. Hombres. Total habitantes. Personas. ,2024,120.0
,,Erustes. Mujeres. Total habitantes. Personas. ,2024,106.0
,,Escacena del Campo. Total. Total habitantes. Personas. ,2024,2318.0
,,Escacena del Campo. Hombres. Total habitantes. Personas. ,2024,1112.0
,,Escacena del Campo. Mujeres. Total habitantes. Personas. ,2024,1206.0
,,"Escala, L'. Total. Total habitantes. Personas. ",2024,10429.0
,,"Escala, L'. Hombres. Total habitantes. Personas. ",2024,5201.0
,,"Escala, L'. Mujeres. Total habitantes. Personas. ",2024,5228.0
,,Escalante. Total. Total habitantes. Personas. ,2024,736.0
,,Escalante. Hombres. Total habitantes. Personas. ,2024,368.0
,,Escalante. Mujeres. Total habitantes. Personas. ,2024,368.0
,,Escalona. Total. Total habitantes. Personas. ,2024,3801.0
,,Escalona. Hombres. Total habitantes. Personas. ,2024,1940.0
,,Escalona. Mujeres. Total habitantes. Personas. ,2024,1861.0
,,Escalona del Prado. Total. Total habitantes. Personas. ,2024,468.0
,,Escalona del Prado. Hombres. Total habitantes. Personas. ,2024,250.0
,,Escalona del Prado. Mujeres. Total habitantes. Personas. ,2024,218.0
,,Escalonilla. Total. Total habitantes. Personas. ,2024,1497.0
,,Escalonilla. Hombres. Total habitantes. Personas. ,2024,727.0
,,Escalonilla. Mujeres. Total habitantes. Personas. ,2024,770.0
,,Escamilla. Total. Total habitantes. Personas. ,2024,65.0
,,Escamilla. Hombres. Total habitantes. Personas. ,2024,42.0
,,Escamilla. Mujeres. Total habitantes. Personas. ,2024,23.0
,,Escañuela. Total. Total habitantes. Personas. ,2024,902.0
,,Escañuela. Hombres. Total habitantes. Personas. ,2024,444.0
,,Escañuela. Mujeres. Total habitantes. Personas. ,2024,458.0
,,Escarabajosa de Cabezas. Total. Total habitantes. Personas. ,2024,276.0
,,Escarabajosa de Cabezas. Hombres. Total habitantes. Personas. ,2024,149.0
,,Escarabajosa de Cabezas. Mujeres. Total habitantes. Personas. ,2024,127.0
,,Escariche. Total. Total habitantes. Personas. ,2024,185.0
,,Escariche. Hombres. Total habitantes. Personas. ,2024,112.0
,,Escariche. Mujeres. Total habitantes. Personas. ,2024,73.0
,,Escatrón. Total. Total habitantes. Personas. ,2024,1177.0
,,Escatrón. Hombres. Total habitantes. Personas. ,2024,598.0
,,Escatrón. Mujeres. Total habitantes. Personas. ,2024,579.0
,,Escobar de Campos. Total. Total habitantes. Personas. ,2024,31.0
,,Escobar de Campos. Hombres. Total habitantes. Personas. ,2024,19.0
,,Escobar de Campos. Mujeres. Total habitantes. Personas. ,2024,12.0
,,Escobar de Polendos. Total. Total habitantes. Personas. ,2024,166.0
,,Escobar de Polendos. Hombres. Total habitantes. Personas. ,2024,93.0
,,Escobar de Polendos. Mujeres. Total habitantes. Personas. ,2024,73.0
,,Escobosa de Almazán. Total. Total habitantes. Personas. ,2024,20.0
,,Escobosa de Almazán. Hombres. Total habitantes. Personas. ,2024,12.0
,,Escobosa de Almazán. Mujeres. Total habitantes. Personas. ,2024,8.0
,,Escopete. Total. Total habitantes. Personas. ,2024,79.0
,,Escopete. Hombres. Total habitantes. Personas. ,2024,42.0
,,Escopete. Mujeres. Total habitantes. Personas. ,2024,37.0
,,Escorca. Total. Total habitantes. Personas. ,2024,203.0
,,Escorca. Hombres. Total habitantes. Personas. ,2024,127.0
,,Escorca. Mujeres. Total habitantes. Personas. ,2024,76.0
,,"Escorial, El. Total. Total habitantes. Personas. ",2024,17176.0
,,"Escorial, El. Hombres. Total habitantes. Personas. ",2024,8447.0
,,"Escorial, El. Mujeres. Total habitantes. Personas. ",2024,8729.0
,,Escorihuela. Total. Total habitantes. Personas. ,2024,141.0
,,Escorihuela. Hombres. Total habitantes. Personas. ,2024,69.0
,,Escorihuela. Mujeres. Total habitantes. Personas. ,2024,72.0
,,Escucha. Total. Total habitantes. Personas. ,2024,772.0
,,Escucha. Hombres. Total habitantes. Personas. ,2024,417.0
,,Escucha. Mujeres. Total habitantes. Personas. ,2024,355.0
,,Escurial. Total. Total habitantes. Personas. ,2024,869.0
,,Escurial. Hombres. Total habitantes. Personas. ,2024,463.0
,,Escurial. Mujeres. Total habitantes. Personas. ,2024,406.0
,,Escurial de la Sierra. Total. Total habitantes. Personas. ,2024,244.0
,,Escurial de la Sierra. Hombres. Total habitantes. Personas. ,2024,135.0
,,Escurial de la Sierra. Mujeres. Total habitantes. Personas. ,2024,109.0
,,Escúzar. Total. Total habitantes. Personas. ,2024,845.0
,,Escúzar. Hombres. Total habitantes. Personas. ,2024,450.0
,,Escúzar. Mujeres. Total habitantes. Personas. ,2024,395.0
,,Esgos. Total. Total habitantes. Personas. ,2024,1102.0
,,Esgos. Hombres. Total habitantes. Personas. ,2024,562.0
,,Esgos. Mujeres. Total habitantes. Personas. ,2024,540.0
,,Esguevillas de Esgueva. Total. Total habitantes. Personas. ,2024,258.0
,,Esguevillas de Esgueva. Hombres. Total habitantes. Personas. ,2024,146.0
,,Esguevillas de Esgueva. Mujeres. Total habitantes. Personas. ,2024,112.0
,,Eskoriatza. Total. Total habitantes. Personas. ,2024,4241.0
,,Eskoriatza. Hombres. Total habitantes. Personas. ,2024,2131.0
,,Eskoriatza. Mujeres. Total habitantes. Personas. ,2024,2110.0
,,Eslava. Total. Total habitantes. Personas. ,2024,106.0
,,Eslava. Hombres. Total habitantes. Personas. ,2024,51.0
,,Eslava. Mujeres. Total habitantes. Personas. ,2024,55.0
,,Eslida. Total. Total habitantes. Personas. ,2024,785.0
,,Eslida. Hombres. Total habitantes. Personas. ,2024,401.0
,,Eslida. Mujeres. Total habitantes. Personas. ,2024,384.0
,,Espadaña. Total. Total habitantes. Personas. ,2024,34.0
,,Espadaña. Hombres. Total habitantes. Personas. ,2024,20.0
,,Espadaña. Mujeres. Total habitantes. Personas. ,2024,14.0
,,Espadañedo. Total. Total habitantes. Personas. ,2024,104.0
,,Espadañedo. Hombres. Total habitantes. Personas. ,2024,59.0
,,Espadañedo. Mujeres. Total habitantes. Personas. ,2024,45.0
,,Espadilla. Total. Total habitantes. Personas. ,2024,89.0
,,Espadilla. Hombres. Total habitantes. Personas. ,2024,49.0
,,Espadilla. Mujeres. Total habitantes. Personas. ,2024,40.0
,,Esparragalejo. Total. Total habitantes. Personas. ,2024,1494.0
,,Esparragalejo. Hombres. Total habitantes. Personas. ,2024,742.0
,,Esparragalejo. Mujeres. Total habitantes. Personas. ,2024,752.0
,,Esparragosa de la Serena. Total. Total habitantes. Personas. ,2024,933.0
,,Esparragosa de la Serena. Hombres. Total habitantes. Personas. ,2024,472.0
,,Esparragosa de la Serena. Mujeres. Total habitantes. Personas. ,2024,461.0
,,Esparragosa de Lares. Total. Total habitantes. Personas. ,2024,854.0
,,Esparragosa de Lares. Hombres. Total habitantes. Personas. ,2024,424.0
,,Esparragosa de Lares. Mujeres. Total habitantes. Personas. ,2024,430.0
,,Esparreguera. Total. Total habitantes. Personas. ,2024,22550.0
,,Esparreguera. Hombres. Total habitantes. Personas. ,2024,11385.0
,,Esparreguera. Mujeres. Total habitantes. Personas. ,2024,11165.0
,,Espartinas. Total. Total habitantes. Personas. ,2024,16482.0
,,Espartinas. Hombres. Total habitantes. Personas. ,2024,8235.0
,,Espartinas. Mujeres. Total habitantes. Personas. ,2024,8247.0
,,Esparza de Salazar/Espartza Zaraitzu. Total. Total habitantes. Personas. ,2024,76.0
,,Esparza de Salazar/Espartza Zaraitzu. Hombres. Total habitantes. Personas. ,2024,38.0
,,Esparza de Salazar/Espartza Zaraitzu. Mujeres. Total habitantes. Personas. ,2024,38.0
,,Espeja. Total. Total habitantes. Personas. ,2024,211.0
,,Espeja. Hombres. Total habitantes. Personas. ,2024,115.0
,,Espeja. Mujeres. Total habitantes. Personas. ,2024,96.0
,,Espeja de San Marcelino. Total. Total habitantes. Personas. ,2024,151.0
,,Espeja de San Marcelino. Hombres. Total habitantes. Personas. ,2024,89.0
,,Espeja de San Marcelino. Mujeres. Total habitantes. Personas. ,2024,62.0
,,Espejo. Total. Total habitantes. Personas. ,2024,3177.0
,,Espejo. Hombres. Total habitantes. Personas. ,2024,1582.0
,,Espejo. Mujeres. Total habitantes. Personas. ,2024,1595.0
,,Espejón. Total. Total habitantes. Personas. ,2024,128.0
,,Espejón. Hombres. Total habitantes. Personas. ,2024,67.0
,,Espejón. Mujeres. Total habitantes. Personas. ,2024,61.0
,,Espeluy. Total. Total habitantes. Personas. ,2024,591.0
,,Espeluy. Hombres. Total habitantes. Personas. ,2024,292.0
,,Espeluy. Mujeres. Total habitantes. Personas. ,2024,299.0
,,Espera. Total. Total habitantes. Personas. ,2024,3777.0
,,Espera. Hombres. Total habitantes. Personas. ,2024,1888.0
,,Espera. Mujeres. Total habitantes. Personas. ,2024,1889.0
,,Espiel. Total. Total habitantes. Personas. ,2024,2341.0
,,Espiel. Hombres. Total habitantes. Personas. ,2024,1180.0
,,Espiel. Mujeres. Total habitantes. Personas. ,2024,1161.0
,,"Espinar, El. Total. Total habitantes. Personas. ",2024,10145.0
,,"Espinar, El. Hombres. Total habitantes. Personas. ",2024,5103.0
,,"Espinar, El. Mujeres. Total habitantes. Personas. ",2024,5042.0
,,Espinelves. Total. Total habitantes. Personas. ,2024,254.0
,,Espinelves. Hombres. Total habitantes. Personas. ,2024,119.0
,,Espinelves. Mujeres. Total habitantes. Personas. ,2024,135.0
,,Espino de la Orbada. Total. Total habitantes. Personas. ,2024,245.0
,,Espino de la Orbada. Hombres. Total habitantes. Personas. ,2024,135.0
,,Espino de la Orbada. Mujeres. Total habitantes. Personas. ,2024,110.0
,,Espinosa de Cerrato. Total. Total habitantes. Personas. ,2024,124.0
,,Espinosa de Cerrato. Hombres. Total habitantes. Personas. ,2024,71.0
,,Espinosa de Cerrato. Mujeres. Total habitantes. Personas. ,2024,53.0
,,Espinosa de Cervera. Total. Total habitantes. Personas. ,2024,85.0
,,Espinosa de Cervera. Hombres. Total habitantes. Personas. ,2024,54.0
,,Espinosa de Cervera. Mujeres. Total habitantes. Personas. ,2024,31.0
,,Espinosa de Henares. Total. Total habitantes. Personas. ,2024,690.0
,,Espinosa de Henares. Hombres. Total habitantes. Personas. ,2024,352.0
,,Espinosa de Henares. Mujeres. Total habitantes. Personas. ,2024,338.0
,,Espinosa de los Caballeros. Total. Total habitantes. Personas. ,2024,97.0
,,Espinosa de los Caballeros. Hombres. Total habitantes. Personas. ,2024,51.0
,,Espinosa de los Caballeros. Mujeres. Total habitantes. Personas. ,2024,46.0
,,Espinosa de los Monteros. Total. Total habitantes. Personas. ,2024,1648.0
,,Espinosa de los Monteros. Hombres. Total habitantes. Personas. ,2024,850.0
,,Espinosa de los Monteros. Mujeres. Total habitantes. Personas. ,2024,798.0
,,Espinosa de Villagonzalo. Total. Total habitantes. Personas. ,2024,154.0
,,Espinosa de Villagonzalo. Hombres. Total habitantes. Personas. ,2024,85.0
,,Espinosa de Villagonzalo. Mujeres. Total habitantes. Personas. ,2024,69.0
,,Espinosa del Camino. Total. Total habitantes. Personas. ,2024,42.0
,,Espinosa del Camino. Hombres. Total habitantes. Personas. ,2024,24.0
,,Espinosa del Camino. Mujeres. Total habitantes. Personas. ,2024,18.0
,,Espinoso del Rey. Total. Total habitantes. Personas. ,2024,418.0
,,Espinoso del Rey. Hombres. Total habitantes. Personas. ,2024,243.0
,,Espinoso del Rey. Mujeres. Total habitantes. Personas. ,2024,175.0
,,Espirdo. Total. Total habitantes. Personas. ,2024,1607.0
,,Espirdo. Hombres. Total habitantes. Personas. ,2024,836.0
,,Espirdo. Mujeres. Total habitantes. Personas. ,2024,771.0
,,Esplegares. Total. Total habitantes. Personas. ,2024,33.0
,,Esplegares. Hombres. Total habitantes. Personas. ,2024,17.0
,,Esplegares. Mujeres. Total habitantes. Personas. ,2024,16.0
,,"Espluga Calba, L'. Total. Total habitantes. Personas. ",2024,331.0
,,"Espluga Calba, L'. Hombres. Total habitantes. Personas. ",2024,169.0
,,"Espluga Calba, L'. Mujeres. Total habitantes. Personas. ",2024,162.0
,,"Espluga de Francolí, L'. Total. Total habitantes. Personas. ",2024,3817.0
,,"Espluga de Francolí, L'. Hombres. Total habitantes. Personas. ",2024,1880.0
,,"Espluga de Francolí, L'. Mujeres. Total habitantes. Personas. ",2024,1937.0
,,Esplugues de Llobregat. Total. Total habitantes. Personas. ,2024,47613.0
,,Esplugues de Llobregat. Hombres. Total habitantes. Personas. ,2024,22621.0
,,Esplugues de Llobregat. Mujeres. Total habitantes. Personas. ,2024,24992.0
,,Esplús. Total. Total habitantes. Personas. ,2024,664.0
,,Esplús. Hombres. Total habitantes. Personas. ,2024,350.0
,,Esplús. Mujeres. Total habitantes. Personas. ,2024,314.0
,,Espolla. Total. Total habitantes. Personas. ,2024,412.0
,,Espolla. Hombres. Total habitantes. Personas. ,2024,206.0
,,Espolla. Mujeres. Total habitantes. Personas. ,2024,206.0
,,Esponellà. Total. Total habitantes. Personas. ,2024,438.0
,,Esponellà. Hombres. Total habitantes. Personas. ,2024,225.0
,,Esponellà. Mujeres. Total habitantes. Personas. ,2024,213.0
,,Esporles. Total. Total habitantes. Personas. ,2024,5252.0
,,Esporles. Hombres. Total habitantes. Personas. ,2024,2572.0
,,Esporles. Mujeres. Total habitantes. Personas. ,2024,2680.0
,,Espot. Total. Total habitantes. Personas. ,2024,379.0
,,Espot. Hombres. Total habitantes. Personas. ,2024,211.0
,,Espot. Mujeres. Total habitantes. Personas. ,2024,168.0
,,Espronceda. Total. Total habitantes. Personas. ,2024,108.0
,,Espronceda. Hombres. Total habitantes. Personas. ,2024,56.0
,,Espronceda. Mujeres. Total habitantes. Personas. ,2024,52.0
,,"Espunyola, L'. Total. Total habitantes. Personas. ",2024,262.0
,,"Espunyola, L'. Hombres. Total habitantes. Personas. ",2024,130.0
,,"Espunyola, L'. Mujeres. Total habitantes. Personas. ",2024,132.0
,,"Esquirol, L'. Total. Total habitantes. Personas. ",2024,2277.0
,,"Esquirol, L'. Hombres. Total habitantes. Personas. ",2024,1134.0
,,"Esquirol, L'. Mujeres. Total habitantes. Personas. ",2024,1143.0
,,Esquivias. Total. Total habitantes. Personas. ,2024,5832.0
,,Esquivias. Hombres. Total habitantes. Personas. ,2024,2965.0
,,Esquivias. Mujeres. Total habitantes. Personas. ,2024,2867.0
,,Establés. Total. Total habitantes. Personas. ,2024,34.0
,,Establés. Hombres. Total habitantes. Personas. ,2024,19.0
,,Establés. Mujeres. Total habitantes. Personas. ,2024,15.0
,,Estada. Total. Total habitantes. Personas. ,2024,214.0
,,Estada. Hombres. Total habitantes. Personas. ,2024,125.0
,,Estada. Mujeres. Total habitantes. Personas. ,2024,89.0
,,Estadilla. Total. Total habitantes. Personas. ,2024,822.0
,,Estadilla. Hombres. Total habitantes. Personas. ,2024,406.0
,,Estadilla. Mujeres. Total habitantes. Personas. ,2024,416.0
,,Estamariu. Total. Total habitantes. Personas. ,2024,132.0
,,Estamariu. Hombres. Total habitantes. Personas. ,2024,76.0
,,Estamariu. Mujeres. Total habitantes. Personas. ,2024,56.0
,,"Estany, L'. Total. Total habitantes. Personas. ",2024,401.0
,,"Estany, L'. Hombres. Total habitantes. Personas. ",2024,218.0
,,"Estany, L'. Mujeres. Total habitantes. Personas. ",2024,183.0
,,Estaràs. Total. Total habitantes. Personas. ,2024,162.0
,,Estaràs. Hombres. Total habitantes. Personas. ,2024,81.0
,,Estaràs. Mujeres. Total habitantes. Personas. ,2024,81.0
,,Estella-Lizarra. Total. Total habitantes. Personas. ,2024,14329.0
,,Estella-Lizarra. Hombres. Total habitantes. Personas. ,2024,6933.0
,,Estella-Lizarra. Mujeres. Total habitantes. Personas. ,2024,7396.0
,,Estellencs. Total. Total habitantes. Personas. ,2024,374.0
,,Estellencs. Hombres. Total habitantes. Personas. ,2024,199.0
,,Estellencs. Mujeres. Total habitantes. Personas. ,2024,175.0
,,Estepa. Total. Total habitantes. Personas. ,2024,12394.0
,,Estepa. Hombres. Total habitantes. Personas. ,2024,6117.0
,,Estepa. Mujeres. Total habitantes. Personas. ,2024,6277.0
,,Estepa de San Juan. Total. Total habitantes. Personas. ,2024,13.0
,,Estepa de San Juan. Hombres. Total habitantes. Personas. ,2024,8.0
,,Estepa de San Juan. Mujeres. Total habitantes. Personas. ,2024,5.0
,,Estépar. Total. Total habitantes. Personas. ,2024,634.0
,,Estépar. Hombres. Total habitantes. Personas. ,2024,367.0
,,Estépar. Mujeres. Total habitantes. Personas. ,2024,267.0
,,Estepona. Total. Total habitantes. Personas. ,2024,78413.0
,,Estepona. Hombres. Total habitantes. Personas. ,2024,38202.0
,,Estepona. Mujeres. Total habitantes. Personas. ,2024,40211.0
,,Estercuel. Total. Total habitantes. Personas. ,2024,203.0
,,Estercuel. Hombres. Total habitantes. Personas. ,2024,116.0
,,Estercuel. Mujeres. Total habitantes. Personas. ,2024,87.0
,,Esteribar. Total. Total habitantes. Personas. ,2024,2877.0
,,Esteribar. Hombres. Total habitantes. Personas. ,2024,1490.0
,,Esteribar. Mujeres. Total habitantes. Personas. ,2024,1387.0
,,Esterri d'Àneu. Total. Total habitantes. Personas. ,2024,921.0
,,Esterri d'Àneu. Hombres. Total habitantes. Personas. ,2024,472.0
,,Esterri d'Àneu. Mujeres. Total habitantes. Personas. ,2024,449.0
,,Esterri de Cardós. Total. Total habitantes. Personas. ,2024,63.0
,,Esterri de Cardós. Hombres. Total habitantes. Personas. ,2024,31.0
,,Esterri de Cardós. Mujeres. Total habitantes. Personas. ,2024,32.0
,,Estivella. Total. Total habitantes. Personas. ,2024,1631.0
,,Estivella. Hombres. Total habitantes. Personas. ,2024,781.0
,,Estivella. Mujeres. Total habitantes. Personas. ,2024,850.0
,,Estollo. Total. Total habitantes. Personas. ,2024,86.0
,,Estollo. Hombres. Total habitantes. Personas. ,2024,51.0
,,Estollo. Mujeres. Total habitantes. Personas. ,2024,35.0
,,Estopiñán del Castillo. Total. Total habitantes. Personas. ,2024,136.0
,,Estopiñán del Castillo. Hombres. Total habitantes. Personas. ,2024,74.0
,,Estopiñán del Castillo. Mujeres. Total habitantes. Personas. ,2024,62.0
,,"Estrada, A. Total. Total habitantes. Personas. ",2024,20139.0
,,"Estrada, A. Hombres. Total habitantes. Personas. ",2024,9672.0
,,"Estrada, A. Mujeres. Total habitantes. Personas. ",2024,10467.0
,,"Estrella, La. Total. Total habitantes. Personas. ",2024,267.0
,,"Estrella, La. Hombres. Total habitantes. Personas. ",2024,142.0
,,"Estrella, La. Mujeres. Total habitantes. Personas. ",2024,125.0
,,Estremera. Total. Total habitantes. Personas. ,2024,1467.0
,,Estremera. Hombres. Total habitantes. Personas. ,2024,760.0
,,Estremera. Mujeres. Total habitantes. Personas. ,2024,707.0
,,Estriégana. Total. Total habitantes. Personas. ,2024,12.0
,,Estriégana. Hombres. Total habitantes. Personas. ,2024,9.0
,,Estriégana. Mujeres. Total habitantes. Personas. ,2024,3.0
,,Estubeny. Total. Total habitantes. Personas. ,2024,109.0
,,Estubeny. Hombres. Total habitantes. Personas. ,2024,54.0
,,Estubeny. Mujeres. Total habitantes. Personas. ,2024,55.0
,,Etayo. Total. Total habitantes. Personas. ,2024,70.0
,,Etayo. Hombres. Total habitantes. Personas. ,2024,37.0
,,Etayo. Mujeres. Total habitantes. Personas. ,2024,33.0
,,Etxalar. Total. Total habitantes. Personas. ,2024,814.0
,,Etxalar. Hombres. Total habitantes. Personas. ,2024,427.0
,,Etxalar. Mujeres. Total habitantes. Personas. ,2024,387.0
,,Etxarri Aranatz. Total. Total habitantes. Personas. ,2024,2545.0
,,Etxarri Aranatz. Hombres. Total habitantes. Personas. ,2024,1322.0
,,Etxarri Aranatz. Mujeres. Total habitantes. Personas. ,2024,1223.0
,,Etxauri. Total. Total habitantes. Personas. ,2024,662.0
,,Etxauri. Hombres. Total habitantes. Personas. ,2024,342.0
,,Etxauri. Mujeres. Total habitantes. Personas. ,2024,320.0
,,Etxebarri. Total. Total habitantes. Personas. ,2024,11941.0
,,Etxebarri. Hombres. Total habitantes. Personas. ,2024,5960.0
,,Etxebarri. Mujeres. Total habitantes. Personas. ,2024,5981.0
,,Etxebarria. Total. Total habitantes. Personas. ,2024,774.0
,,Etxebarria. Hombres. Total habitantes. Personas. ,2024,394.0
,,Etxebarria. Mujeres. Total habitantes. Personas. ,2024,380.0
,,Eulate. Total. Total habitantes. Personas. ,2024,271.0
,,Eulate. Hombres. Total habitantes. Personas. ,2024,148.0
,,Eulate. Mujeres. Total habitantes. Personas. ,2024,123.0
,,Ezcabarte. Total. Total habitantes. Personas. ,2024,1870.0
,,Ezcabarte. Hombres. Total habitantes. Personas. ,2024,976.0
,,Ezcabarte. Mujeres. Total habitantes. Personas. ,2024,894.0
,,Ezcaray. Total. Total habitantes. Personas. ,2024,2098.0
,,Ezcaray. Hombres. Total habitantes. Personas. ,2024,1086.0
,,Ezcaray. Mujeres. Total habitantes. Personas. ,2024,1012.0
,,Ezcároz/Ezkaroze. Total. Total habitantes. Personas. ,2024,304.0
,,Ezcároz/Ezkaroze. Hombres. Total habitantes. Personas. ,2024,177.0
,,Ezcároz/Ezkaroze. Mujeres. Total habitantes. Personas. ,2024,127.0
,,Ezkio-Itsaso. Total. Total habitantes. Personas. ,2024,588.0
,,Ezkio-Itsaso. Hombres. Total habitantes. Personas. ,2024,304.0
,,Ezkio-Itsaso. Mujeres. Total habitantes. Personas. ,2024,284.0
,,Ezkurra. Total. Total habitantes. Personas. ,2024,136.0
,,Ezkurra. Hombres. Total habitantes. Personas. ,2024,94.0
,,Ezkurra. Mujeres. Total habitantes. Personas. ,2024,42.0
,,Ezprogui. Total. Total habitantes. Personas. ,2024,51.0
,,Ezprogui. Hombres. Total habitantes. Personas. ,2024,26.0
,,Ezprogui. Mujeres. Total habitantes. Personas. ,2024,25.0
,,Fabara. Total. Total habitantes. Personas. ,2024,1047.0
,,Fabara. Hombres. Total habitantes. Personas. ,2024,572.0
,,Fabara. Mujeres. Total habitantes. Personas. ,2024,475.0
,,Fabero. Total. Total habitantes. Personas. ,2024,4061.0
,,Fabero. Hombres. Total habitantes. Personas. ,2024,1988.0
,,Fabero. Mujeres. Total habitantes. Personas. ,2024,2073.0
,,Fageca. Total. Total habitantes. Personas. ,2024,100.0
,,Fageca. Hombres. Total habitantes. Personas. ,2024,52.0
,,Fageca. Mujeres. Total habitantes. Personas. ,2024,48.0
,,Fago. Total. Total habitantes. Personas. ,2024,25.0
,,Fago. Hombres. Total habitantes. Personas. ,2024,16.0
,,Fago. Mujeres. Total habitantes. Personas. ,2024,9.0
,,Falces. Total. Total habitantes. Personas. ,2024,2353.0
,,Falces. Hombres. Total habitantes. Personas. ,2024,1212.0
,,Falces. Mujeres. Total habitantes. Personas. ,2024,1141.0
,,Falset. Total. Total habitantes. Personas. ,2024,2856.0
,,Falset. Hombres. Total habitantes. Personas. ,2024,1476.0
,,Falset. Mujeres. Total habitantes. Personas. ,2024,1380.0
,,Famorca. Total. Total habitantes. Personas. ,2024,44.0
